Equity Holding,Shares,Market Value,Country
Steel Dynamics Inc,539000,14000000,United States
Steinhoff International Holdings Ltd,3970000,32000000,South Africa
Stockland,2506000,11000000,Australia
Stora Enso OYJ,870000,11000000,Finland
Storebrand ASA,1157000,5000000,Norway
Stratasys Ltd,110000,7000000,Israel
Stryker Corp,40000,5000000,United States
Sturm Ruger & Co Inc,42000,3000000,United States
Subsea 7 SA,1189000,13000000,Norway
Sugi Holdings Co Ltd,30000,2000000,Japan
Sumitomo Chemical Co Ltd,3551000,23000000,Japan
Sumitomo Corp,2078000,28000000,Japan
Sumitomo Dainippon Pharma Co Ltd,911000,14000000,Japan
Sumitomo Electric Industries Ltd,1068000,18000000,Japan
Sumitomo Heavy Industries Ltd,3424000,28000000,Japan
Sumitomo Metal Mining Co Ltd,1513000,28000000,Japan
Sumitomo Mitsui Financial Group Inc,3474000,169000000,Japan
Sumitomo Mitsui Trust Holdings Inc,9224000,48000000,Japan
Sumitomo Realty & Development Co Ltd,874000,40000000,Japan
Sumitomo Rubber Industries Ltd,1333000,31000000,Japan
Summarecon Agung Tbk PT,17308000,3000000,Indonesia
Sun Hung Kai Properties Ltd,3128000,61000000,Hong Kong
SunTrust Banks Inc,1067000,56000000,United States
Suncorp Group Ltd,1373000,18000000,Australia
Sundrug Co Ltd,16000,1000000,Japan
Sungwoo Hitech Co Ltd,152000,2000000,South Korea
Suning Commerce Group Co Ltd,2156000,6000000,China
Sunrise Communications Group AG,510000,56000000,Switzerland
Suntec Real Estate Investment Trust,4627000,8000000,Singapore
Suntory Beverage & Food Ltd,124000,7000000,Japan
Sunway Bhd,1389000,2000000,Malaysia
Sunway Real Estate Investment Trust,1893000,1000000,Malaysia
Superior Energy Services Inc,563000,16000000,United States
Surgutneftegas OAO Depositary Receipt,1941000,15000000,Russia
Surgutneftegas OAO Depositary ReceiptPreference,1448000,14000000,Russia
Surya Citra Media Tbk PT,5621000,2000000,Indonesia
Suzano Papel e Celulose SA Preference,769000,5000000,Brazil
Suzuki Motor Corp,1112000,42000000,Japan
Svenska Cellulosa AB SCA A,60000,2000000,Sweden
Svenska Cellulosa AB SCA B,715000,21000000,Sweden
Svenska Handelsbanken AB A,778000,45000000,Sweden
Swatch Group AG/The,22000,2000000,Switzerland
Swedbank AB,1386000,42000000,Sweden
Swedish Match AB,920000,34000000,Sweden
Swire Pacific Ltd A,906000,16000000,Hong Kong
Swire Pacific Ltd B,2085000,7000000,Hong Kong
Swire Properties Ltd,854000,4000000,Hong Kong
Swiss Re AG,926000,114000000,Switzerland
Swisscom AG,53000,39000000,Switzerland
Sydney Airport,871000,4000000,Australia
Symantec Corp,2161000,64000000,United States
Synnex Technology International Corp,2330000,4000000,Taiwan
Synopsys Inc,435000,26000000,United States
Synthos SA,1078000,2000000,Poland
Sysco Corp,589000,28000000,United States
Sysmex Corp,410000,29000000,Japan
T Rowe Price Group Inc,522000,54000000,United States
T&D Holdings Inc,2772000,48000000,Japan
T-Mobile US Inc,530000,21000000,United States
TAV Havalimanlari Holding AS,244000,3000000,Turkey
TBEA Co Ltd,1414000,4000000,China
TCL Corp,3780000,5000000,China
TD Ameritrade Holding Corp,571000,27000000,United States
TDC A/S,204000,2000000,Denmark
TDK Corp,312000,28000000,Japan
TE Connectivity Ltd,290000,26000000,United States
TECO Energy Inc,598000,15000000,United States
TGS Nopec Geophysical Co ASA,474000,13000000,Norway
THK Co Ltd,311000,10000000,Japan
TMB Bank PCL,22180000,3000000,Thailand
TMB Bank PCL Depositary Receipt,48297000,6000000,Thailand
TOTAL SA,3843000,242000000,France
TPG Telecom Ltd,355000,3000000,Australia
TPK Holding Co Ltd,477000,4000000,Taiwan
TTY Biopharm Co Ltd,477000,1000000,Taiwan
TVN SA,291000,2000000,Poland
Ta Chong Bank Ltd,3270000,1000000,Taiwan
Taichung Commercial Bank Co Ltd,3757000,2000000,Taiwan
Taiheiyo Cement Corp,284000,1000000,Japan
Tainan Spinning Co Ltd,2421000,2000000,Taiwan
Taisei Corp,2927000,21000000,Japan
Taishin Financial Holding Co Ltd,26110000,14000000,Taiwan
Taiwan Cement Corp,8608000,15000000,Taiwan
Taiwan Cooperative Financial Holding Co Ltd,6048000,4000000,Taiwan
Taiwan Glass Industry Corp,2148000,2000000,Taiwan
Taiwan Mobile Co Ltd,3232000,14000000,Taiwan
Taiwan PCB Techvest Co Ltd,937000,2000000,Taiwan
Taiwan Secom Co Ltd,586000,2000000,Taiwan
Taiwan Semiconductor Manufacturing Co Ltd,15641000,92000000,Taiwan
Taiwan Semiconductor Manufacturing Co Ltd Depositary Receipt,3961000,118000000,Taiwan
Taiwan Surface Mounting Technology Co Ltd,1578000,3000000,Taiwan
Taiyo Nippon Sanso Corp,599000,10000000,Japan
Takeda Pharmaceutical Co Ltd,1181000,75000000,Japan
Tambang Batubara Bukit Asam Persero Tbk PT,1542000,2000000,Indonesia
Taro Pharmaceutical Industries Ltd,36000,6000000,Israel
Tasly Pharmaceutical Group Co Ltd,295000,3000000,China
Tatneft OAO Depositary Receipt,456000,17000000,Russia
Tatung Co Ltd,3446000,1000000,Taiwan
Tauron Polska Energia SA,1871000,3000000,Poland
Tech Mahindra Ltd,921000,12000000,India
Technip SA,139000,11000000,France
Teco Electric and Machinery Co Ltd,4119000,5000000,Taiwan
Teijin Ltd,5910000,25000000,Japan
Tele2 AB,895000,14000000,Sweden
Telecom Italia SpA,145097000,216000000,Italy
Telecom Italia SpA RSP,6299000,7000000,Italy
Telefonaktiebolaget LM Ericsson,1943000,31000000,Sweden
Telefonica Brasil SA Depositary Receipt,398000,8000000,Brazil
Telefonica SA,4672000,84000000,Spain
Telefonica SA Right,5212000,1000000,Spain
Telekom Malaysia Bhd,3310000,8000000,Malaysia
Telekomunikasi Indonesia Persero Tbk PT,13922000,4000000,Indonesia
Telekomunikasi Indonesia Persero Tbk PT Depositary Receipt,339000,19000000,Indonesia
Telenet Group Holding NV,215000,15000000,Belgium
Telenor ASA,1250000,32000000,Norway
TeliaSonera AB,1645000,13000000,Sweden
Telkom SA SOC Ltd,587000,5000000,South Africa
Telstra Corp Ltd,4237000,26000000,Australia
Temp Holdings Co Ltd,116000,5000000,Japan
Tenaga Nasional Bhd,5699000,28000000,Malaysia
Tencent Holdings Ltd,3502000,84000000,China
Teradata Corp,24000,1000000,United States
Teradyne Inc,1358000,32000000,United States
Terex Corp,329000,11000000,United States
Terumo Corp,839000,28000000,Japan
Tesco PLC,6032000,27000000,United Kingdom
Tesoro Corp,226000,26000000,United States
Teva Pharmaceutical Industries Ltd,1232000,98000000,Israel
Teva Pharmaceutical Industries Ltd Depositary Receipt,1007000,79000000,Israel
Texas Instruments Inc,1214000,88000000,United States
Thai Beverage PCL,19115000,14000000,Thailand
Thai Oil PCL,1036000,2000000,Thailand
Thai Union Frozen Products PCL,2423000,2000000,Thailand
Thai Union Frozen Products PCL Depositary Receipt,4678000,4000000,Thailand
Thoratec Corp,69000,4000000,United States
TiVo Inc,952000,13000000,United States
Tiger Brands Ltd,367000,12000000,South Africa
Tim Participacoes SA Depositary Receipt,244000,5000000,Brazil
Time Warner Inc,400000,43000000,United States
Timken Co/The,432000,23000000,United States
Tingyi Cayman Islands Holding Corp,1249000,3000000,China
Titan Cement Co SA,89000,3000000,Greece
Tobu Railway Co Ltd,3444000,21000000,Japan
Tod's SpA,30000,3000000,Italy
Tofas Turk Otomobil Fabrikasi AS,176000,1000000,Turkey
Toho Co Ltd/Tokyo,113000,4000000,Japan
Tohoku Electric Power Co Inc,1292000,19000000,Japan
Tokio Marine Holdings Inc,1635000,78000000,Japan
Tokyo Broadcasting System Holdings Inc,434000,7000000,Japan
Tokyo Electric Power Co Inc,2800000,13000000,Japan
Tokyo Electron Ltd,436000,39000000,Japan
Tokyo Tatemono Co Ltd,1208000,11000000,Japan
Tokyu Corp,1613000,13000000,Japan
Tokyu Fudosan Holdings Corp,1173000,10000000,Japan
Toll Brothers Inc,22000,1000000,United States
Toll Holdings Ltd,658000,6000000,Australia
Ton Yi Industrial Corp,1538000,1000000,Taiwan
TonenGeneral Sekiyu KK,679000,7000000,Japan
Tong Yang Industry Co Ltd,882000,1000000,Taiwan
Toppan Printing Co Ltd,1914000,19000000,Japan
Toray Industries Inc,1423000,15000000,Japan
Torchmark Corp,164000,11000000,United States
Toshiba Corp,13999000,75000000,Japan
Tosoh Corp,1900000,12000000,Japan
Total Access Communication PCL,1202000,4000000,Thailand
Total Access Communication PCL Depositary Receipt,1500000,5000000,Thailand
Tower Bersama Infrastructure Tbk PT,2613000,2000000,Indonesia
Toyo Seikan Group Holdings Ltd,288000,5000000,Japan
Toyo Suisan Kaisha Ltd,189000,8000000,Japan
Toyoda Gosei Co Ltd,122000,3000000,Japan
Toyota Industries Corp,285000,21000000,Japan
Toyota Motor Corp,6122000,542000000,Japan
Tractebel Energia SA,310000,4000000,Brazil
Transcend Information Inc,385000,2000000,Taiwan
Transmissora Alianca de Energia Eletrica SA,201000,2000000,Brazil
Transocean Ltd,361000,7000000,United States
Transurban Group,1536000,14000000,Australia
Travelers Cos Inc/The,521000,71000000,United States
Treasury Wine Estates Ltd,1090000,5000000,Australia
Trend Micro Inc/Japan,668000,28000000,Japan
Tripod Technology Corp,1861000,5000000,Taiwan
Triumph Group Inc,263000,20000000,United States
True Corp PCL,12496000,6000000,Thailand
True Corp PCL Depositary Receipt,6944000,3000000,Thailand
Truworths International Ltd,647000,6000000,South Africa
Tryg A/S,8000,1000000,Denmark
Tsinghua Tongfang Co Ltd,793000,3000000,China
Tsogo Sun Holdings Ltd,991000,3000000,South Africa
Tsuruha Holdings Inc,80000,8000000,Japan
Tung Ho Steel Enterprise Corp,1199000,1000000,Taiwan
Tupras Turkiye Petrol Rafinerileri AS,141000,4000000,Turkey
Turk Hava Yollari AO,935000,4000000,Turkey
Turk Telekomunikasyon AS,499000,2000000,Turkey
Turkcell Iletisim Hizmetleri AS,870000,6000000,Turkey
Turkiye Garanti Bankasi AS,2701000,11000000,Turkey
Turkiye Halk Bankasi AS,787000,5000000,Turkey
Turkiye Is Bankasi,1663000,5000000,Turkey
Turkiye Sise ve Cam Fabrikalari AS,927000,1000000,Turkey
Turkiye Vakiflar Bankasi TAO,1467000,3000000,Turkey
Twenty-First Century Fox Inc B,69000,3000000,United States
Twitter Inc,805000,51000000,United States
Tyco International Plc,1894000,103000000,United States
U-Ming Marine Transport Corp,878000,2000000,Taiwan
UBS Group AG,5746000,137000000,Switzerland
UDR Inc,529000,23000000,United States
UEM Sunrise Bhd,2813000,1000000,Malaysia
UGI Corp,1012000,42000000,United States
UMW Holdings Bhd,898000,3000000,Malaysia
UMW Oil & Gas Corp Bhd,1594000,1000000,Malaysia
UNIQA Insurance Group AG,187000,2000000,Austria
UOL Group Ltd,1204000,8000000,Singapore
UPM-Kymmene OYJ,710000,18000000,Finland
US Bancorp/MN,3441000,190000000,United States
USS Co Ltd,957000,21000000,Japan
Ube Industries Ltd,5887000,12000000,Japan
Ulker Biskuvi Sanayi AS,173000,2000000,Turkey
Ulta Salon Cosmetics & Fragrance Inc,10000,2000000,United States
Ultrapar Participacoes SA Depositary Receipt,578000,15000000,Brazil
Umicore SA,258000,14000000,Belgium
Uni-President Enterprises Corp,10005000,21000000,Taiwan
UniCredit SpA,5893000,51000000,Italy
Unibail-Rodamco SE,123000,42000000,France
Unicharm Corp,1292000,43000000,Japan
Unilever Indonesia Tbk PT,1836000,7000000,Indonesia
Unilever NV Depositary Receipt,3009000,159000000,Netherlands
Unilever PLC,852000,45000000,United Kingdom
Unilever PLC Depositary Receipt,153000,8000000,United Kingdom
Unimicron Technology Corp,1794000,1000000,Taiwan
Union Bank Of Taiwan,3146000,1000000,Taiwan
Union Pacific Corp,239000,33000000,United States
Unione di Banche Italiane SCpA,2212000,22000000,Italy
UnipolSai SpA,842000,3000000,Italy
UnipolSai SpA B,604000,2000000,Italy
United Co RUSAL PLC,3041000,2000000,Russia
United Continental Holdings Inc,325000,28000000,United States
United Industrial Corp Ltd,448000,1000000,Singapore
United Microelectronics Corp,10625000,7000000,Taiwan
United Microelectronics Corp Depositary Receipt,2528000,8000000,Taiwan
United Overseas Bank Ltd,2979000,63000000,Singapore
United Parcel Service Inc,307000,38000000,United States
United Plantations BHD,178000,2000000,Malaysia
United Rentals Inc,92000,11000000,United States
United States Oil Fund LP,275000,6000000,United States
United States Steel Corp,296000,9000000,United States
United Therapeutics Corp,66000,14000000,United States
United Tractors Tbk PT,2381000,5000000,Indonesia
United Urban Investment Corp,6000,12000000,Japan
UnitedHealth Group Inc,545000,82000000,United States
Universal Entertainment Corp,219000,5000000,Japan
Universal Health Services Inc,101000,15000000,United States
Universal Robina Corp,1626000,10000000,Philippines
Unum Group,357000,15000000,United States
Uralkali PJSC Depositary Receipt,342000,6000000,Russia
Ushio Inc,676000,11000000,Japan
Usinas Siderurgicas de Minas Gerais SA Preference,1081000,2000000,Brazil
VMware Inc,73000,8000000,United States
VTB Bank OJSC Depositary Receipt,5257000,13000000,Russia
VTech Holdings Ltd,333000,6000000,Hong Kong
Vale Indonesia Tbk PT,3646000,1000000,Indonesia
Vale SA Depositary Receipt,2186000,16000000,Brazil
Vale SA Depositary ReceiptPreference,2761000,17000000,Brazil
Valero Energy Corp,532000,43000000,United States
Valmet OYJ,621000,9000000,Finland
Valspar Corp/The,39000,4000000,United States
Vanguard International Semiconductor Corp,1567000,3000000,Taiwan
Varian Medical Systems Inc,102000,12000000,United States
Vedanta Resources PLC,626000,6000000,United Kingdom
Ventas Inc,662000,61000000,United States
Venture Corp Ltd,545000,4000000,Singapore
VeriFone Systems Inc,71000,3000000,United States
Verizon Communications Inc,8434000,519000000,United States
Vertex Pharmaceuticals Inc,36000,5000000,United States
Via Varejo SA,230000,1000000,Brazil
VimpelCom Ltd Depositary Receipt,555000,4000000,Russia
Vinci SA,335000,24000000,France
Vipshop Holdings Ltd Depositary Receipt,169000,6000000,China
Visa Inc,2807000,233000000,United States
Viscofan SA,751000,58000000,Spain
Visteon Corp,84000,10000000,United States
Vodacom Group Ltd,924000,13000000,South Africa
Vodafone Group PLC,7732000,32000000,United Kingdom
Vodafone Group PLC Depositary Receipt,40000,2000000,United Kingdom
Volkswagen AG,7000,2000000,Germany
Volkswagen AG Preference,95000,32000000,Germany
Vornado Realty Trust,350000,50000000,United States
Voya Financial Inc,480000,26000000,United States
Vulcan Materials Co,177000,19000000,United States
WABCO Holdings Inc,35000,5000000,United States
WEG SA,402000,5000000,Brazil
WESCO International Inc,116000,10000000,United States
WH Group Ltd,4641000,3000000,China
WM Morrison Supermarkets PLC,1819000,7000000,United Kingdom
WP GLIMCHER Inc,115000,2000000,United States
WPG Holdings Ltd,946000,2000000,Taiwan
WPX Energy Inc,347000,5000000,United States
WR Berkley Corp,96000,6000000,United States
WR Grace & Co,14000,2000000,United States
Wal-Mart Stores Inc,2101000,219000000,United States
Wal-Mart de Mexico SAB de CV,10062000,32000000,Mexico
Walgreens Boots Alliance Inc,1231000,132000000,United States
Walsin Lihwa Corp,8198000,3000000,Taiwan
Wan Hai Lines Ltd,2228000,3000000,Taiwan
Wanhua Chemical Group Co Ltd,585000,3000000,China
Want Want China Holdings Ltd,4361000,6000000,China
Waste Connections Inc,527000,32000000,United States
Waste Management Inc,206000,14000000,United States
Waterland Financial Holdings Co Ltd,4162000,1000000,Taiwan
Waters Corp,21000,3000000,United States
Watsco Inc,16000,2000000,United States
Weatherford International PLC,830000,13000000,United States
Weichai Power Co Ltd A,516000,3000000,China
Weichai Power Co Ltd H,614000,3000000,China
Weifu High-Technology Group Co Ltd,274000,2000000,China
Weight Watchers International Inc,411000,4000000,United States
Wells Fargo & Co,9328000,643000000,United States
Wesfarmers Ltd,905000,38000000,Australia
West Japan Railway Co,491000,33000000,Japan
Western Digital Corp,617000,71000000,United States
Western Refining Inc,300000,19000000,United States
Westfield Corp,2345000,22000000,Australia
Westpac Banking Corp,3330000,127000000,Australia
Westports Holdings Bhd,1961000,3000000,Malaysia
Weyerhaeuser Co,1034000,43000000,United States
Wharf Holdings Ltd/The,2385000,21000000,Hong Kong
Wheelock & Co Ltd,1905000,12000000,Hong Kong
Whirlpool Corp,98000,25000000,United States
WhiteWave Foods Co/The,26000,1000000,United States
William Demant Holding A/S,271000,29000000,Denmark
Williams Cos Inc/The,204000,13000000,United States
Williams-Sonoma Inc,52000,5000000,United States
Willis Group Holdings PLC,398000,24000000,United States
Wilmar International Ltd,5691000,17000000,Singapore
Win Semiconductors Corp,1296000,2000000,Taiwan
Winbond Electronics Corp,5761000,2000000,Taiwan
Windstream Holdings Inc,2429000,23000000,United States
Wisconsin Energy Corp,312000,20000000,United States
Wistron Corp,4892000,5000000,Taiwan
Wolters Kluwer NV,149000,6000000,Netherlands
Woodside Petroleum Ltd,34000,1000000,Australia
Woolworths Holdings Ltd/South Africa,1422000,13000000,South Africa
Woolworths Ltd,1155000,33000000,Australia
Woori Bank,650000,7000000,South Korea
Workday Inc,61000,7000000,United States
Wowprime Corp,115000,1000000,Taiwan
Wuliangye Yibin Co Ltd,887000,4000000,China
Wyndham Worldwide Corp,64000,7000000,United States
XL Axiata Tbk PT,4324000,2000000,Indonesia
XL Group PLC,378000,18000000,United States
Xcel Energy Inc,59000,3000000,United States
Xero Ltd,178000,4000000,New Zealand
Xerox Corp,2114000,34000000,United States
Xilinx Inc,336000,18000000,United States
Xylem Inc/NY,176000,8000000,United States
YFY Inc,2501000,1000000,Taiwan
YTL Corp Bhd,9301000,5000000,Malaysia
YTL Power International Bhd,4502000,2000000,Malaysia
Yageo Corp,1073000,3000000,Taiwan
Yahoo Japan Corp,2543000,13000000,Japan
Yahoo! Inc,2020000,114000000,United States
Yakult Honsha Co Ltd,343000,30000000,Japan
Yamada Denki Co Ltd,2099000,11000000,Japan
Yamaguchi Financial Group Inc,1340000,20000000,Japan
Yamaha Corp,494000,11000000,Japan
Yamaha Motor Co Ltd,772000,24000000,Japan
Yamato Holdings Co Ltd,220000,6000000,Japan
Yamato Kogyo Co Ltd,256000,8000000,Japan
Yamazaki Baking Co Ltd,614000,14000000,Japan
Yandex NV,358000,7000000,Russia
Yang Ming Marine Transport Corp,2525000,2000000,Taiwan
Yangzijiang Shipbuilding Holdings Ltd,1831000,2000000,China
Yantai Jereh Oilfield Services Group Co Ltd,198000,2000000,China
Yapi ve Kredi Bankasi AS,938000,2000000,Turkey
Yara International ASA,218000,14000000,Norway
Yazicilar Holding AS,187000,2000000,Turkey
Yieh Phui Enterprise Co Ltd,2668000,1000000,Taiwan
Yokogawa Electric Corp,511000,7000000,Japan
Yokohama Rubber Co Ltd/The,1141000,15000000,Japan
Young Poong Corp,1000,2000000,South Korea
Youngor Group Co Ltd,687000,3000000,China
Yuanta Financial Holding Co Ltd,27110000,17000000,Taiwan
Yungtay Engineering Co Ltd,680000,2000000,Taiwan
Yunnan Baiyao Group Co Ltd,207000,3000000,China
ZTE Corp A,921000,4000000,China
Zeon Corp,803000,9000000,Japan
Zhejiang Dahua Technology Co Ltd,252000,2000000,China
Zhejiang Expressway Co Ltd,927000,2000000,China
Zhejiang Longsheng Group Co Ltd,606000,4000000,China
Zhen Ding Technology Holding Ltd,956000,4000000,Taiwan
Zhengzhou Yutong Bus Co Ltd,395000,2000000,China
Zhongjin Gold Corp Ltd,804000,2000000,China
Zhuzhou CSR Times Electric Co Ltd,477000,4000000,China
Zijin Mining Group Co Ltd A,3768000,3000000,China
Zijin Mining Group Co Ltd H,3435000,1000000,China
Zimmer Holdings Inc,161000,24000000,United States
Zoetis Inc,209000,12000000,United States
Zoomlion Heavy Industry Science and Technology Co Ltd A,2284000,3000000,China
Zoomlion Heavy Industry Science and Technology Co Ltd H,2093000,2000000,China
Zurich Insurance Group AG,315000,135000000,Switzerland
ams AG,19000,1000000,Austria
eBay Inc,1775000,130000000,United States
easyJet PLC,288000,10000000,United Kingdom
iShares Russell 1000 Value ETF,95000,12000000,United States
mBank SA,23000,3000000,Poland
voestalpine AG,46000,2000000,Austria
